pseudopalavra,grupo,taxa_similaridade
cabori,4,2
cadegu,2,3
cadovur,4,2
camate,2,2
cameder,4,2
camoder,4,3
camola,4,2
camota,2,3
carotir,2,2
cobiro,4,3
codivar,4,3
coduga,2,2
comalo,4,2
comato,2,3
conado,2,2
conedo,2,3
corutar,2,3
coruter,2,2
cubere,4,2
cudivor,4,3
cudoga,2,3
cumile,4,3
cumodor,4,2
cunoda,2,2
dacodo,2,3
dafical,2,2
dafocol,2,3
decode,2,2
ducoda,2,2
dufical,2,2
faduril,2,3
fanirel,4,3
farefo,4,2
fenarel,4,3
fetara,2,2
fidarel,2,3
finoral,4,2
firafe,4,3
firufo,4,3
fitare,2,3
fodural,2,2
futira,2,2
jalica,4,2
japutar,4,3
jeluci,4,2
jepatar,4,3
jopater,4,2
juluca,4,3
lemunor,4,3
levavol,4,2
livoval,4,3
lomenar,4,2
lomenir,4,3
luvivol,4,3
madoda,2,2
malutor,2,3
mazole,4,2
medoda,2,2
mezilo,4,3
midode,2,3
mitavol,4,2
mitoval,4,3
molitur,2,2
motevel,4,2
mulotar,2,2
muzola,4,2
pacevol,2,3
pacido,2,1
pacigo,4,2
papilor,2,3
pecival,2,2
pepalir,2,2
piceda,2,3
piciga,4,3
pipalor,2,3
piruno,2,3
poranu,2,2
poruna,2,2
pucega,4,2
puceval,2,3
pucido,2,2
sebeta,4,3
sedaco,4,3
sedoca,4,2
sicora,4,3
sicori,4,2
sobite,4,3
socaru,4,3
soduca,4,2
subata,4,2
tatolo,2,2
tetola,2,3
titale,2,2
